house,year,season,homebase,parent,director,director_years,director_previous_houses,newyork,paris,london,milan,met,employees_num,google_search_sentiment,fashion_magazine_sentiment
Burberry,2024,fw,London,Burberry,Daniel Lee,14,4,0,0,1,0,1,9336,0.135707,0.2916666667
Burberry,2024,ss,London,Burberry,Daniel Lee,14,4,0,0,1,0,1,9336,0.135707,0.08011363636
Burberry,2023,fw,London,Burberry,Daniel Lee,14,4,0,0,1,0,1,9201,0.094815,0.2840909091
Burberry,2023,ss,London,Burberry,Daniel Lee,14,4,0,0,1,0,1,9201,0.166629,0.03409090909
Burberry,2022,fw,London,Burberry,Daniel Lee,14,4,0,0,1,0,1,9293,0.166629,-0.01590909091
Burberry,2022,ss,London,Burberry,Riccardo Tisci,22,1,0,0,1,0,1,9293,0.143723,0.002840909091
Burberry,2021,fw,London,Burberry,Riccardo Tisci,22,1,0,0,1,0,1,9234,0.06375,0.3507575758
Burberry,2021,ss,London,Burberry,Riccardo Tisci,22,1,0,0,1,0,1,9234,0.06375,0.03409090909
Burberry,2020,fw,London,Burberry,Riccardo Tisci,22,1,0,0,1,0,1,9892,0.06375,0.3
Burberry,2020,ss,London,Burberry,Riccardo Tisci,22,1,0,0,1,0,1,9892,0.06375,0.25
Burberry,2019,fw,London,Burberry,Riccardo Tisci,22,1,0,0,1,0,1,9862,0.06375,0.05
Burberry,2019,ss,London,Burberry,Riccardo Tisci,22,1,0,0,1,0,1,9862,0.06375,0
Burberry,2018,fw,London,Burberry,Riccardo Tisci,22,1,0,0,1,0,1,9752,0.06375,0.009090909091
Burberry,2018,ss,London,Burberry,Riccardo Tisci,22,1,0,0,1,0,1,9752,0.06375,-0.2
Dior,2024,fw,Paris,LVMH,Kim Jones,21,4,0,1,0,0,1,9336,0.089318,0.25
Dior,2024,ss,Paris,LVMH,Kim Jones,21,4,0,1,0,0,1,9336,0.089318,0.425
Dior,2023,fw,Paris,LVMH,Kim Jones,21,4,0,1,0,0,1,9201,0.089318,0
Dior,2023,ss,Paris,LVMH,Kim Jones,21,4,0,1,0,0,1,9201,0.089318,0.05
Dior,2022,fw,Paris,LVMH,Kim Jones,21,4,0,1,0,0,1,9293,0.089318,0.25
Dior,2022,ss,Paris,LVMH,Kim Jones,21,1,0,1,0,0,1,9293,0.089318,0.3
Dior,2021,fw,Paris,LVMH,Kim Jones,21,1,0,1,0,0,1,9234,0.089318,0
Dior,2021,ss,Paris,LVMH,Kim Jones,21,1,0,1,0,0,1,9234,0.089318,0.325
Dior,2020,fw,Paris,LVMH,Kim Jones,21,1,0,1,0,0,1,9892,0.089318,0.4
Dior,2020,ss,Paris,LVMH,Kim Jones,21,1,0,1,0,0,1,9892,0.089318,0
Dior,2019,fw,Paris,LVMH,Kim Jones,21,1,0,1,0,0,1,9862,0.089318,0
Dior,2019,ss,Paris,LVMH,Kim Jones,21,1,0,1,0,0,1,9862,0.089318,0.2
Dior,2018,fw,Paris,LVMH,Kim Jones,21,1,0,1,0,0,1,9752,0.089318,0
Dior,2018,ss,Paris,LVMH,Kriss Van Asche,13,1,0,1,0,0,1,9752,0.19125,0.175
Loewe,2024,fw,Madrid,LVMH,Jonathan Anderson,6,1,0,1,0,0,1,9336,0.089318,0.1893939394
Loewe,2024,ss,Madrid,LVMH,Jonathan Anderson,6,1,0,1,0,0,1,9336,0.089318,0.1893939394
Loewe,2023,fw,Madrid,LVMH,Jonathan Anderson,6,1,0,1,0,0,1,9201,0.089318,0.15
Loewe,2023,ss,Madrid,LVMH,Jonathan Anderson,6,1,0,1,0,0,1,9201,0.089318,0.1277777778
Loewe,2022,fw,Madrid,LVMH,Jonathan Anderson,6,1,0,1,0,0,1,9293,0.089318,0.3166666667
Loewe,2022,ss,Madrid,LVMH,Jonathan Anderson,6,1,0,1,0,0,1,9293,0.089318,0.2625
Loewe,2021,fw,Madrid,LVMH,Jonathan Anderson,6,1,0,1,0,0,1,9234,0.089318,0.2893939394
Loewe,2021,ss,Madrid,LVMH,Jonathan Anderson,6,1,0,1,0,0,1,9234,0.089318,0.3171717172
Loewe,2020,fw,Madrid,LVMH,Jonathan Anderson,6,1,0,1,0,0,1,9892,0.089318,0.2393939394
Loewe,2020,ss,Madrid,LVMH,Jonathan Anderson,6,1,0,1,0,0,1,9892,0.089318,0.1893939394
Loewe,2019,fw,Madrid,LVMH,Jonathan Anderson,6,1,0,1,0,0,1,9862,0.089318,0.3416666667
Loewe,2019,ss,Madrid,LVMH,Jonathan Anderson,6,1,0,1,0,0,1,9862,0.089318,0.2625
