year,season,homebase,parent,director,director_years,director_previous_houses,newyork,paris,london,milan,"met",employees_num,google_search_sentiment,fashion_magazine_sentiment
2024,fw,London,Burberry,Daniel Lee,14,4,0,0,1,0,1,9336,0.135707,0.166629
2024,ss,London,Burberry,Daniel Lee,14,4,0,0,1,0,1,9336,0.135707,0.166629
2023,fw,London,Burberry,Daniel Lee,14,4,0,0,1,0,1,9201,0.094815,0.166629
2023,ss,London,Burberry,Daniel Lee,14,4,0,0,1,0,1,9201,0.166629,0.166629
2022,fw,London,Burberry,Daniel Lee,14,4,0,0,1,0,1,9293,0.166629,0.166629
2022,ss,London,Burberry,Riccardo Tisci,22,1,0,0,1,0,1,9293,0.143723,0.166629
2021,fw,London,Burberry,Riccardo Tisci,22,1,0,0,1,0,1,9234,0.06375,0.142726
2021,ss,London,Burberry,Riccardo Tisci,22,1,0,0,1,0,1,9234,0.06375,0.142726
2020,fw,London,Burberry,Riccardo Tisci,22,1,0,0,1,0,1,9892,0.06375,0.142726
2020,ss,London,Burberry,Riccardo Tisci,22,1,0,0,1,0,1,9892,0.06375,0.142726
2019,fw,London,Burberry,Riccardo Tisci,22,1,0,0,1,0,1,9862,0.06375,0.142726
2019,ss,London,Burberry,Riccardo Tisci,22,1,0,0,1,0,1,9862,0.06375,0.142726
2018,fw,London,Burberry,Riccardo Tisci,22,1,0,0,1,0,1,9752,0.06375,0.142726
2018,ss,London,Burberry,Riccardo Tisci,22,1,0,0,1,0,1,9752,0.06375,0.142726
